max_depth,max_features,min_samples_split,n_estimators,Accuracy
5,sqrt,2,10,0.8623893392973627
5,sqrt,2,20,0.8637405647190383
5,sqrt,2,30,0.8637405647190383
5,sqrt,2,40,0.867831516168111
5,sqrt,2,50,0.8650917901407139
5,sqrt,2,60,0.8650917901407139
5,sqrt,2,70,0.8623707017053397
5,sqrt,2,80,0.8664430155623893
5,sqrt,2,90,0.8678035597800765
5,sqrt,2,100,0.8664430155623893
5,sqrt,2,110,0.8637219271270151
5,sqrt,2,120,0.8664430155623893
5,sqrt,2,130,0.8664430155623893
5,sqrt,2,140,0.8678035597800765
5,sqrt,2,150,0.8650824713447023
5,sqrt,2,160,0.8650824713447023
5,sqrt,2,170,0.8664523343584009
5,sqrt,2,180,0.8650824713447023
5,sqrt,2,190,0.8650824713447023
5,sqrt,2,200,0.8664523343584009
5,sqrt,4,10,0.8610194762836642
5,sqrt,4,20,0.8623800205013511
5,sqrt,4,30,0.8678128785760879
5,sqrt,4,40,0.8678221973720996
5,sqrt,4,50,0.8691641039977634
5,sqrt,4,60,0.8650824713447023
5,sqrt,4,70,0.8650824713447023
5,sqrt,4,80,0.8623520641133166
5,sqrt,4,90,0.8609915198956294
5,sqrt,4,100,0.8650824713447023
5,sqrt,4,110,0.8637126083310036
5,sqrt,4,120,0.8623520641133166
5,sqrt,4,130,0.8664336967663779
5,sqrt,4,140,0.8678035597800765
5,sqrt,4,150,0.8678035597800765
5,sqrt,4,160,0.8678128785760879
5,sqrt,4,170,0.8691734227937751
5,sqrt,4,180,0.8664430155623893
5,sqrt,4,190,0.8664430155623893
5,sqrt,4,200,0.8664430155623893
5,sqrt,6,10,0.8541887988071941
5,sqrt,6,20,0.8637498835150499
5,sqrt,6,30,0.8651011089367253
5,sqrt,6,40,0.8664616531544125
5,sqrt,6,50,0.8678035597800765
5,sqrt,6,60,0.8705339670114622
5,sqrt,6,70,0.8678128785760879
5,sqrt,6,80,0.8718945112291493
5,sqrt,6,90,0.8719038300251608
5,sqrt,6,100,0.8664430155623893
5,sqrt,6,110,0.8691641039977634
5,sqrt,6,120,0.8691641039977634
5,sqrt,6,130,0.8691641039977634
5,sqrt,6,140,0.8678035597800765
5,sqrt,6,150,0.8664336967663779
5,sqrt,6,160,0.8705432858074736
5,sqrt,6,170,0.8678128785760879
5,sqrt,6,180,0.8691734227937751
5,sqrt,6,190,0.8691734227937751
5,sqrt,6,200,0.8664430155623893
5,sqrt,8,10,0.8664523343584009
5,sqrt,8,20,0.866470971950424
5,sqrt,8,30,0.8664523343584009
5,sqrt,8,40,0.866470971950424
5,sqrt,8,50,0.8719038300251608
5,sqrt,8,60,0.8691827415897866
5,sqrt,8,70,0.8732736930388594
5,sqrt,8,80,0.8760041002702451
5,sqrt,8,90,0.8732736930388594
5,sqrt,8,100,0.8732736930388594
5,sqrt,8,110,0.8719038300251608
5,sqrt,8,120,0.8732643742428479
5,sqrt,8,130,0.8718945112291493
5,sqrt,8,140,0.8719038300251608
5,sqrt,8,150,0.8719038300251608
5,sqrt,8,160,0.8719038300251608
5,sqrt,8,170,0.8705432858074736
5,sqrt,8,180,0.8719038300251608
5,sqrt,8,190,0.8719131488211722
5,sqrt,8,200,0.8691827415897866
5,sqrt,10,10,0.869192060385798
5,sqrt,10,20,0.866470971950424
5,sqrt,10,30,0.866470971950424
5,sqrt,10,40,0.8691827415897866
5,sqrt,10,50,0.869192060385798
5,sqrt,10,60,0.8691827415897866
5,sqrt,10,70,0.8678221973720994
5,sqrt,10,80,0.8705526046034852
5,sqrt,10,90,0.8691827415897866
5,sqrt,10,100,0.8678035597800765
5,sqrt,10,110,0.8678128785760879
5,sqrt,10,120,0.8691734227937751
5,sqrt,10,130,0.8732550554468362
5,sqrt,10,140,0.8732550554468362
5,sqrt,10,150,0.8732643742428478
5,sqrt,10,160,0.8732643742428479
5,sqrt,10,170,0.8719038300251608
5,sqrt,10,180,0.8719038300251608
5,sqrt,10,190,0.8691734227937751
5,sqrt,10,200,0.8691734227937751
5,sqrt,12,10,0.8623707017053397
5,sqrt,12,20,0.8691827415897866
5,sqrt,12,30,0.8651011089367253
5,sqrt,12,40,0.8678128785760879
5,sqrt,12,50,0.8718945112291492
5,sqrt,12,60,0.8664430155623893
5,sqrt,12,70,0.8678128785760879
5,sqrt,12,80,0.8719038300251608
5,sqrt,12,90,0.8691641039977636
5,sqrt,12,100,0.8691641039977636
